sample	tumor_type	t2onc_type	pathology_type	dnaseq_run	rnaseq_run	rnaseq_id	rnaseq_full_name	mouse
12SKA133-L2-L3	spontaeneous	1868	classical ILC	Sanger2	run379	2800_61_12SKA133-L2-L3	2800_61_12SKA133-L2-L3_F_CGATGTA_L004_R1_001	12SKA133
12SKA133-R3	spontaeneous	1868	classical ILC	Sanger2	run379	2800_62_12SKA133-R3	2800_62_12SKA133-R3_F_TGACCAA_L004_R1_001	12SKA133
12SKA134-R3	spontaeneous	1869	classical ILC	Sanger2	run382	2800_64_12SKA134-R3	2800_64_12SKA134-R3_G_GCCAATA_L007_R1_001	12SKA134
12SKA136-L2	spontaeneous	1869	classical ILC with EMT	Sanger2	run382	2800_65_12SKA136-L2	2800_65_12SKA136-L2_G_CAGATCA_L007_R1_001	12SKA136
13SKA001-L4	spontaeneous	1869	classical ILC with EMT and squamous	Sanger2	run382	2800_66_13SKA001-L4	2800_66_13SKA1-L4_G_CTTGTAA_L007_R1_001	13SKA001
13SKA002-L3	spontaeneous	1868	classical ILC	Sanger2	run382	2800_67_13SKA002-L3	2800_67_13SKA2-L3_G_AGTCAAC_L007_R1_001	13SKA002
13SKA003-L3	spontaeneous	1868	classical ILC	Sanger2	run382	2800_68_13SKA003-L3	2800_68_13SKA3-L3_G_AGTTCCG_L007_R1_001	13SKA003
13SKA003-R3	spontaeneous	1868	classical ILC and nonclassical type ILC	Sanger2	run382	2800_69_13SKA003-R3	2800_69_13SKA3-R3_G_ATGTCAG_L007_R1_001	13SKA003
12SKA043-R4	spontaeneous	1868	classical ILC	Sanger1	run376	2800_7_12SKA043-R4	2800_7_12SKA43-R4_A_GTGGCCT_L006_R1_001	12SKA043
13SKA005-L3	spontaeneous	1869	classical ILC	Sanger2	run382	2800_70_13SKA005-L3	2800_70_13SKA5-L3_G_CCGTCCC_L007_R1_001	13SKA005
13SKA007-L3	spontaeneous	1868	EMT	Sanger2	run382	2800_71_13SKA007-L3	2800_71_13SKA7-L3_G_GTCCGCA_L007_R1_001	13SKA007
13SKA008-Leg-right	spontaeneous	1869	EMT	Sanger2	run382	2800_72_13SKA008-leg-right	2800_72_13SKA8-Leg-right_G_GTGAAAC_L007_R1_001	13SKA008
13SKA010-R2	spontaeneous	1869	classical ILC and nonclassical type ILC	Sanger2	run382	2800_73_13SKA010-R2	2800_73_13SKA10-R2_G_ATCACGA_L007_R1_001	13SKA010
13SKA011-L3	spontaeneous	1869	classical ILC	Sanger2	run379	2800_74_13SKA011-L3	2800_74_13SKA11-L3_H_TTAGGCA_L005_R1_001	13SKA011
13SKA012-L2	spontaeneous	1868	classical ILC	Sanger2	run379	2800_75_13SKA012-L2	2800_75_13SKA12-L2_H_ACTTGAA_L005_R1_001	13SKA012
13SKA012-L3	spontaeneous	1868	classical ILC	Sanger2	run379	2800_76_13SKA012-L3	2800_76_13SKA12-L3_H_GATCAGA_L005_R1_001	13SKA012
13SKA013-L3	spontaeneous	1869	classical ILC	Sanger2	run379	2800_77_13SKA013-L3	2800_77_13SKA13-L3_H_TAGCTTA_L005_R1_001	13SKA013
13SKA014-L2-neck	spontaeneous	1868	EMT	Sanger2	run379	2800_79_13SKA014-L2-neck	2800_79_13SKA14-L2-neck_H_GTGGCCT_L005_R1_001	13SKA014
12SKA045-R3	spontaeneous	1868	classical ILC and nonclassical type ILC	Sanger1	run376	2800_8_12SKA045-R3	2800_8_12SKA45-R3_A_GTTTCGG_L006_R1_001	12SKA045
13SKA014-R3	spontaeneous	1868	classical ILC with squamous metaplasia	Sanger2	run379	2800_80_13SKA014-R3	2800_80_13SKA14-R3_H_GTTTCGG_L005_R1_001	13SKA014
13SKA017-L4	spontaeneous	1869	squamous	Sanger2	run379	2800_81_13SKA017-L4	2800_81_13SKA17-L4_H_GAGTGGA_L005_R1_001	13SKA017
13SKA018-L3	spontaeneous	1868	nonclassical ILC	Sanger2	run379	2800_82_13SKA018-L3	2800_82_13SKA18-L3_H_ACTGATA_L005_R1_001	13SKA018
12SKA046-R3	spontaeneous	1869	nonclassical ILC	Sanger1	run376	2800_9_12SKA046-R3	2800_9_12SKA46-R3_A_CGTACGT_L006_R1_001	12SKA046
12SKA029-R5-L5	spontaeneous	1868	classical ILC with squamous metaplasia	Pool3.1	run215	2049_39_12SKA029-R5-L5	2049_39_12SKA029_R5_L5_GTGAAAC_L008_R1_001	12SKA029
